"","id","dt","x_utm","y_utm","sex"
"189","af17_11",2017-02-09 16:37:00,313997.950944458,446771.04362976,"male"
"190","af17_11",2017-02-09 16:59:00,313997.923222639,446771.032416615,"male"
"191","af17_11",2017-02-09 17:47:00,313996.168274214,446775.368293457,"male"
"192","af17_11",2017-02-09 18:32:00,313994.80357453,446778.26170921,"male"
"193","af17_11",2017-02-10 07:35:00,313993.643977295,446776.900166009,"male"
"194","af17_11",2017-02-10 08:45:00,313994.765368198,446778.24795114,"male"
"195","af17_11",2017-02-10 10:13:00,313994.53748781,446778.481231605,"male"
"196","af17_11",2017-02-10 11:21:00,313994.523112252,446778.538996954,"male"
"197","af17_11",2017-02-10 12:55:00,313994.677792147,446778.518072196,"male"
"198","af17_11",2017-02-10 13:44:00,313994.677522123,446778.517350879,"male"
"199","af17_11",2017-02-10 14:40:00,313994.687162274,446778.506227988,"male"
"200","af17_11",2017-02-10 15:20:00,313994.696568081,446778.496072095,"male"
"201","af17_11",2017-02-10 16:00:00,313994.69853647,446778.493906462,"male"
"202","af17_11",2017-02-10 16:40:00,313994.708702884,446778.488068523,"male"
"203","af17_11",2017-02-10 17:20:00,313994.704273246,446778.486343952,"male"
"204","af17_11",2017-02-10 17:58:00,313994.704224261,446778.486666118,"male"
"205","af17_11",2017-02-10 18:45:00,313994.700827158,446778.479375966,"male"
"206","af17_11",2017-02-11 07:49:00,313989.801807212,446797.77268556,"male"
"207","af17_11",2017-02-11 07:57:00,313989.382893739,446798.446171399,"male"
"208","af17_11",2017-02-11 08:07:00,313988.586891842,446800.003417002,"male"
"209","af17_11",2017-02-11 08:30:00,313989.18567941,446801.186550167,"male"
"210","af17_11",2017-02-11 09:08:00,313989.268321947,446801.188295643,"male"
"211","af17_11",2017-02-11 09:45:00,313989.578204862,446811.330225521,"male"
"212","af17_11",2017-02-11 10:01:00,313988.394967938,446816.06900687,"male"
"213","af17_11",2017-02-11 10:38:00,313988.455547726,446816.09010837,"male"
"214","af17_11",2017-02-11 11:10:00,313991.017717217,446825.852668922,"male"
"215","af17_11",2017-02-11 11:35:00,313992.787221317,446831.734683389,"male"
"216","af17_11",2017-02-11 12:10:00,313992.787926012,446831.735913898,"male"
"217","af17_11",2017-02-11 12:42:00,313992.788072439,446831.734793316,"male"
"218","af17_11",2017-02-11 13:00:00,313992.752994783,446831.728189141,"male"
"219","af17_11",2017-02-11 13:45:00,313992.753702204,446831.727763156,"male"
"220","af17_11",2017-02-11 14:35:00,313992.753119958,446831.727698063,"male"
