"","id","sex","trans_group","trans_dist","homing_prop","homing_bin","dt","x_utm","y_utm","x_new","y_new","dist2home","dist2release","duration","time_norm"
"110","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 16:38:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,72.8833333333333,88.6333333333333
"111","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 17:10:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,73.4166666666667,89.1666666666667
"112","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 17:49:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,74.0666666666667,89.8166666666667
"113","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-10 18:47:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,75.0333333333333,90.7833333333333
"114","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-11 06:30:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,86.75,102.5
"115","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-11 08:00:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,88.25,104
"116","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-11 08:38:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,88.8833333333333,104.633333333333
"117","af17_10","female","200m",200.400781587323,-0.00891388287261674,0,2017-02-11 09:13:00,313971.2,446663.1,-7.55069249792554,-1.64530933306846,202.187130681973,7.72787163452598,89.4666666666667,105.216666666667
"118","af17_10","female","200m",200.400781587323,-0.00891388287261674,0,2017-02-11 09:55:00,313971.2,446663.1,-7.55069249792554,-1.64530933306846,202.187130681973,7.72787163452598,90.1666666666667,105.916666666667
"119","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-11 10:44:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,90.9833333333333,106.733333333333
"120","af17_10","female","200m",200.400781587323,-0.00894877450334586,0,2017-02-11 11:45:00,313971.1,446663.1,-7.65064008009488,-1.64854674337438,202.194122992042,7.82623792126488,92,107.75
"121","af17_10","female","200m",200.400781587323,-0.00994431706553889,0,2017-02-11 12:34:00,313971.1,446662.9,-7.64416525948681,-1.8484419075967,202.393630499609,7.86447709641936,92.8166666666667,108.566666666667
"122","af17_10","female","200m",200.400781587323,-0.00994431706553889,0,2017-02-11 13:18:00,313971.1,446662.9,-7.64416525948681,-1.8484419075967,202.393630499609,7.86447709641936,93.55,109.3
"123","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 14:28:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,94.7166666666667,110.466666666667
"124","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 15:20:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,95.5833333333333,111.333333333333
"125","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 16:23:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,96.6333333333333,112.383333333333
"126","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 17:20:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,97.5833333333333,113.333333333333
"127","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 18:05:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,98.3333333333333,114.083333333333
"128","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-11 19:00:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,99.25,115
"129","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-12 06:30:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,110.75,126.5
"130","af17_10","female","200m",200.400781587323,-0.00563932368616804,0,2017-02-12 07:48:00,313969.3,446663.9,-9.47559584094279,-0.907239471738228,201.530906461655,9.51892851112834,112.05,127.8
"131","af17_10","female","200m",200.400781587323,-0.0030342625242108,0,2017-02-12 08:17:00,313969.6,446664.4,-9.19194014607508,-0.397789330152094,201.008850168716,9.20054346222056,112.533333333333,128.283333333333
"132","af17_10","female","200m",200.400781587323,-0.00299544128938534,0,2017-02-12 09:15:00,313969.7,446664.4,-9.09199256390574,-0.394551919846174,201.001070362915,9.10054943393923,113.5,129.25
"133","af17_10","female","200m",200.400781587323,-0.0030342625242108,0,2017-02-12 09:51:00,313969.6,446664.4,-9.19194014607508,-0.397789330152094,201.008850168716,9.20054346222056,114.1,129.85
