"","id","dt","x_utm","y_utm"
"299","dt19_41",2019-03-18 09:07:00,313678.613291171,447394.174377846
"300","dt19_41",2019-03-18 17:37:00,313676.590486234,447385.59985273
"301","dt19_41",2019-03-19 13:09:00,313682.060900148,447391.957461383
"302","dt19_42",2019-03-17 18:12:00,313661.782077327,447379.328009102
"303","dt19_42",2019-03-18 09:12:00,313661.788713065,447379.377112331
"304","dt19_42",2019-03-18 16:13:00,313661.767530358,447378.734804135
"305","dt19_43",2019-03-19 09:33:00,313785.480757425,447460.900661799
"306","dt19_43",2019-03-20 12:51:00,313791.912625847,447467.8690646
"307","dt19_43",2019-03-20 16:22:00,313793.47180012,447468.432827733
"308","dt19_44",2019-03-19 09:42:00,313791.405467594,447436.167459281
"309","dt19_44",2019-03-20 12:40:00,313792.56900988,447421.923711331
"310","dt19_44",2019-03-20 16:51:00,313793.58430569,447427.240242504
"311","dt19_45",2019-03-22 08:26:00,313763.388843157,447352.361717329
"312","dt19_45",2019-03-22 12:56:00,313763.768896229,447352.300220618
"313","dt19_45",2019-03-23 11:21:00,313762.867971267,447352.190880231
"314","dt19_45",2019-03-23 16:26:00,313759.677830793,447353.768388059
"315","dt19_46",2019-03-22 08:26:00,313763.465800261,447352.448442329
"316","dt19_46",2019-03-22 12:58:00,313763.77196943,447352.297559321
"317","dt19_46",2019-03-23 11:21:00,313762.879043097,447352.194037234
"318","dt19_46",2019-03-23 16:21:00,313756.563991561,447358.067826723
"319","dt19_47",2019-03-22 10:11:00,313856.772157188,447464.087810759
"320","dt19_47",2019-03-23 09:03:00,313871.355496937,447465.368842223
"321","dt19_48",2019-03-22 10:14:00,313857.80525656,447467.537719611
"322","dt19_48",2019-03-23 08:48:00,313850.750543129,447470.447100647
"323","dt19_5",2019-02-10 17:09:00,313671.813828922,447356.11013466
"324","dt19_5",2019-02-11 12:28:00,313674.920292766,447357.664038128
"325","dt19_5",2019-02-11 15:23:00,313674.916367721,447357.66546108
"326","dt19_6",2019-02-11 11:39:00,313591.208399946,447423.025177984
"327","dt19_6",2019-02-12 09:45:00,313605.377869181,447428.303871663
"328","dt19_6",2019-02-12 09:55:00,313589.128089448,447425.400880085
"329","dt19_6",2019-02-12 13:31:00,313588.693683017,447415.516239306
"330","dt19_7",2019-02-14 14:02:00,313679.133513257,447381.824002234
"331","dt19_7",2019-02-15 11:32:00,313681.866846664,447377.834941713
"332","dt19_7",2019-02-15 13:09:00,313682.361928239,447376.418761748
"333","dt19_8",2019-02-14 14:33:00,313739.423361313,447403.075093271
"334","dt19_8",2019-02-15 11:25:00,313736.282782545,447386.925761991
"335","dt19_8",2019-02-15 13:22:00,313740.10420957,447386.810461669
"336","dt19_9",2019-02-16 16:53:00,313712.079981904,447401.108095003
"337","dt19_9",2019-02-17 13:50:00,313709.070503432,447384.122995026
"338","dt19_99",2019-03-13 11:21:00,313657.470057495,447416.36846874
"339","dt19_99",2019-03-21 15:08:00,313683.454834096,447375.600857544
"340","dt19_999",2019-02-06 15:31:00,313620.278899903,447416.856256752
"341","dt19_999",2019-02-07 09:31:00,313760.955602712,447350.831947638
"342","dt19_999",2019-02-07 14:01:00,313766.218542449,447345.11374722
"343","dt19_999",2019-02-07 14:23:00,313749.194599931,447358.670802072
"344","dt19_999",2019-02-07 14:29:00,313749.034049832,447358.565560268
"345","dt19_999",2019-03-06 13:57:00,313681.130234404,447373.396218197
"346","dt19_999",2019-03-06 14:02:00,313680.922845731,447373.073157684
"347","dt19_999",2019-03-06 14:05:00,313679.459885307,447372.517427847
"348","dt19_999",2019-03-06 14:43:00,313745.524289343,447350.580722302
"349","dt19_999",2019-03-06 14:44:00,313745.517543423,447350.567355808
"350","dt19_999",2019-03-11 18:50:00,313680.855726401,447373.320271252
"351","dt19_999",2019-03-17 09:34:00,313680.84345303,447373.335077859
"352","dt19_999",2019-03-17 16:20:00,313669.339116305,447396.507510327
"353","dt19_999",2019-03-19 10:31:00,313789.593020015,447460.253821177
